span,tag
Laboratory Of Quantum Information Theory, Moscow Institute Of Physics And Technology,group
Light-Matter Interactions For Quantum Technologies Group,group
Lincoln Laboratory,group
USC-Lockheed Martin Quantum Computation Center,group
Los Alamos Quantum Institute,group
Low Dimensional Structures & Devices Group,group
Macquarie Centre For Quantum Engineering,group
Manchester Noisy Quantum Systems Group,group
Marquardt Research Group,group
Mathematical Physics Research Group,group
Mathematics And Quantum Information,group
Matter And Light For Quantum Computing,group
McMahon Lab ,group
Microsoft Research Station Q,group
Muller Group,group
Munich Center For Quantum Science And Technology,group
NarangLab,group
Nasa Ames Quantum Artificial Intelligence Lab,group
National Centre Of Competence In Research Quantum Science And Technology,group
Key Laboratory of Quantum Information ,group
National Quantum Computing Centre,group
Natural Computation Research Group,group
NRL Quantum Research Center,group
NCCR SPIN,group
Networked Quantum Information Technologies,group
NMR-QIP At Iiser Pune,group
Nokia Bell Labs,group
NTT Basic Research Laboratories,group
Nuclear Theory Group,group
Oak Ridge National Laboratory Quantum Computing Institute,group
Optics Division Strathclyde,group
Optimization With Noisy Intermediate-Scale Quantum Devices Program,group
Oregon Center For Optical, Molecular And Quantum Science,group
Oxford Ion Trap Quantum Computing Group,group
Paris Center For Quantum Computing,group
Paris Observatory,group
Particle Astrophysics Science And Technology Centre,group
Perimeter Institute For Theoretical Physics,group
Physics Of Information And Quantum Technologies Group,group
Physics Of Quantum Materials Research Group,group
Pittsburgh Quantum Institute,group
Q-Next Group,group
QRDLab,group
Quantum Algorithms And Complexity Group,group
Quantum And Condensed Matter Physics Group,group
Quantum And Solid State Theory Group,group
Tanaka Research Group,group
Quantum Applications And Research Laboratory,group
Quantum Atom Optics Laboratory,group
Quantum Centre at Sheffield,group
Quantum Chaos Group - Argentina,group
Quantum Coherent Device Physics Group,group
Quantum Communications Hub,group
Quantum Complexity Science Initiative,group
Quantum Computing And Devices Group,group
Keio University Quantum Computing Center,group
Quantum Computing Research Group Khalifa University,group
Quantum Driving And Bio-Complexity Group,group
Quantum Dynamics Of Atomic And Molecular Systems,group
Quantum Engineering Technology Labs,group
Quantum Optics Laboratory,group
Quantum Foundations And Information - Buenos Aires,group
Quantum Foundations And Quantum Information Theory,group
Quantum Fundamentals, Architecture And Machines Initiative,group
QuantumFuture Research Group ,group
Quantum Information & Computation Group Innsbruck,group
Quantum Information (UFABC),group
Quantum Information (UNLP),group
Quantum Information And Applications (IQA) Group,group
Quantum Information And Computing (QUIC) Lab,group
Quantum Information And Emergent Phenomena,group
Quantum Information And Foundations Group,group
Quantum Information And Nonlinear Optics Group,group
Quantum Information And Quantum Matter (Iip-Ufrn),group
Quantum Information And Quantum Optics With Single Trapped Atoms, ICFO,group
Quantum Information And Technologies In Madrid,group
Quantum Information Center (UT Austin),group
Quantum Information Group (LU),group
Quantum Information Group Of The Universitat Autonoma De Barcelona,group
Quantum Information Lab,group
NUS Quantum Communications Lab,group
Quantum Information Theory Group,group
Quantum Information Theory Group (ETHZ),group
Quantum Information Theory Research Group (Cologne),group
Quantum Leap Flagship Program(MEXT QLLEAP,group
Quantum Leti Initiative,group
Quantum Many-Body Dynamics Group,group
Quantum Matter Research Group,group
Quantum Metrology Institute,group
Quantum Optics And Information Laboratory,group
Quantum Optics Center,group
Quantum Optics Group (LKB),group
Quantum Optics Group (Unam),group
Quantum Optics Lab,group
Queensland Quantum Optics Lab,group
Quantum Photonics Lab at Heriot-Watt University,group
Quantum Physics And Quantum Biology,group
Quantum Science And Technologies Group,group
Quantum Science Group,group
Quantum Systems Engineering Research Group,group
Quantum Systems Of Informatics Group,group
Quantum Entanglement Science and Technology,group
Quantum Technologies Research Group,group
Quantum Technology Center Maryland,group
Quantum Sciences And Technologies Center Paris-Saclay,group
Quantumalta,group
Quest Center At Bar-Ilan University,group
Quest Institute For Experimental Quantum Metrology,group
Qutech,group
Raman Research Institute,group
Macquarie University Research Centre in Quantum Science and Technology,group
Research Institute For Advanced Computer Science,group
Roee Ozeris Lab - Trapped Ions,group
Russian Quantum Center,group
Sabanci University Quantum Information Team,group
Sandia Quantum Performance Laboratory,group
Security And Quantum Information Group,group
Sharif Quantum Information Group,group
Stanford Institute For Theoretical Physics,group
Station Q Zurich,group
Statistical Physics Group,group
The Budapest Quantum Optics Group,group
The Center For Quantum Devices,group
The center for Theoretical Physics,group
The Faculty Of Mathematics , Astronomy , Physics And Computing,group
The Faculty Of Physics Warsaw,group
The Quantum Dynamics Group,group
The Quantum Information And Computing Lab,group
The Quantum Information Physics Research Team,group
The Quantum Science Center,group
The Quantum Systems Group Is Part Of The Georgia Tech Research Institute'S Cybersecurity, Information Protection, And Hardware Evaluation Research Lab,group
Theoretical Atomic Physics And Synthetic Quantum Systems,group
Theoretical Nanooptics (Kit),group
Theoretical Physics Laboratory,group
Theoretical Quantum Optics Group,group
Theoretical Quantum Physics Laboratory,group
Theoretical Quantum System Design,group
Atomic Optics Department (Jagiellonian),group
UCLQ Quantum Science And Technology Institute,group
UK National Quantum Technologies Programme,group
Universities Space Research Association,group
Vienna Center For Quantum Science And Technology,group
Vtt Technical Research Centre Of Finland,group
Wallenberg Centre For Quantum Technology,group
Young Independent Researcher Group,group
Aberystwyth Quantum Structures, Information And Control Group,group
Munich Quantum Valley,group
Academia Sinica,university
Air Force Institute of Technology,university
Austrian Academy of Sciences,university
Ben-Gurion University of the Negev,university
California Institute of Technology,university
Carnegie Mellon University,university
Chalmers University of Technology,university
Chapman University,university
Portail national,university
Cornell University,university
Czech Technical University in Prague,university
Dartmouth,university
TU Delft,university
Dhirubhai Ambani Institute of Information and Communication Technology,university
Université Paris Sciences et Lettres  Université PSL,university
École Polytechnique,university
Ewha Womans University,university
Universidade Federal de Santa Maria,university
Ferdowsi University of Mashhad,university
Florida Atlantic University,university
Georgia Tech,university
Ghent University,university
Griffith University,university
Hanyang University,university
HHU,university
Heriot-Watt University,university
Indian Institute Science Education and Research, Pune,university
Jagiellonian University,university
JKU - Johannes Kepler Universität Linz,university
Karlsruhe Institute of Technology,university
Keio University,university
Lancaster University,university
Lebanon Valley College,university
Linköping University,university
Loughborough University,university
Louisiana State University,university
University of Munich,university
Lund University,university
Macquarie University,university
Massachusetts Institute of Technology,university
Michigan State University,university
Nanyang Technological University,university
National University of Singapore,university
Uniwersytet Mikołaja Kopernika w Toruniu,university
Northwestern University,university
Okinawa Institute of Science and Technology Graduate University,university
Penn State,university
Perimeter Institute,university
Princeton University,university
Raman Research Institute,university
RWTH Aachen University,university
Universität des Saarlandes,university
Sapienza Università di Roma,university
Simon Fraser University,university
Skoltech,university
Sorbonne University,university
Stanford University,university
Stony Brook University,university
EPFL,university
ETH Zürich,university
Tampere University,university
TIFR Hyderabad,university
DTU - Technical University of Denmark,university
TU Dortmund,university
Technical University of Munich,university
Technion - Israel Institute of Technology,university
Télécom Paris,university
Hebrew University of Jerusalem. Robert H. Smith Faculty of Agriculture,university
Max Planck Society,university
University of British Columbia,university
The University of Hong Kong,university
The University of New Mexico,university
Universität Rostock,university
University of Sydney,university
University of Tennessee,university
Tohoku University,university
Tulane University,university
University College Dublin,university
UCL,university
Universität Innsbruck,university
Universitat de Barcelona,university
Universität Basel,university
University of Birmingham,university
University of Bristol,university
Université libre de Bruxelles,university
University of Calgary,university
University of Cambridge,university
Universidad de Castilla-La Mancha,university
Università Catania,university
The University of Chicago,university
Universität zu Köln,university
University of Colorado Boulder,university
Københavns Universitet,university
University of Crete,university
Eindhoven University of Technology,university
University of Gdańsk,university
Université de Genève,university
Universidad de Granada,university
Leibniz Universität Hannover,university
Harvard University,university
USI Università della Svizzera italiana,university
University of Kassel,university
University of Latvia,university
University of Malta,university
University of Maryland,university
University of Michigan,university
University of Münster,university
UNSW,university
University of Nottingham,university
University of Oregon,university
University of Oxford,university
Università degli Studi di Padova,university
Università di Pisa,university
UQ Business School,university
USTC,university
The University of Sheffield,university
Université de Sherbrooke,university
Universität Siegen,university
University of Southern California,university
University of Strathclyde,university
University of Stuttgart,university
University of Sussex,university
University of Tartu,university
University of Technology Sydney,university
The University of Texas at Austin,university
University of Toronto,university
Université de Toulouse,university
University of Tübingen,university
University of Twente,university
Ulm University,university
Universität Wien,university
Uniwersytet Warszawski,university
University of Washington,university
University of Waterloo,university
Université Paris-Saclay,university
Universitat Politècnica de València,university
Politechnika Warszawska,university
Washington University in St. Louis,university
Weizmann Institute of Science,university
Auburn University,university
Clark Atlanta University,university
Colorado School of Mines,university
George Mason University,university
Hampton University,university
Harrisburg University of Science and Technology,university
Howard University,university
Indiana University Bloomington,university
Lehigh University,university
Linktree,university
New York University,university
NC State University,university
Northeastern University,university
Purdue University,university
Rochester Institute of Technology,university
Southern University,university
SMU,university
SUNY Polytechnic Institute,university
Texas A&M University,university
University of Arizona,university
UCLA,university
UC Santa Barbara,university
University of Illinois at Urbana-Champaign,university
University of Nevada, Reno,university
University of Oklahoma,university
University of Rochester,university
University of Wisconsin-Madison,university
Virginia Tech,university
The University of Tokyo,university
University of Jyväskylä,university
Hogeschool van Amsterdam,university
University of Würzburg,university
TU Dresden,university
Universität Bonn,university
University of Ljubljana,university
Durham University,university
Technische Universität Braunschweig,university
Università di Torino,university
Aalto University,university
Universidad Complutense de Madrid,university
UPV/EHU,university
Aix-Marseille University,university
University of Leeds,university
Università di Pavia,university
Universidad Autónoma de Madrid,university
University of Glasgow,university
Aberystwyth University,university
3i Group,investor
5Y Capital,investor
Alphabet,investor
Alumni Venture Group,investor
Alvarium,investor
Andre Crawford-Brunt,investor
Anglia Capital Group,investor
Appleyard Lees,investor
Arda Kutsal,investor
BIC Gipuzkoa Berrilan,investor
Bob Beauchamp,investor
Breakthrough Energy Ventures,investor
Canada Strategic Innovation Fund,investor
CCB International,investor
Center for Innovative Technology,investor
Charles Stonehill,investor
Charlie Songhurst,investor
Chengdu Industrial Investment,investor
China Internet Investment Fund,investor
China Life Healthcare Fund,investor
Chris Adelsbach,investor
CICC Qizhi,investor
Comstock,investor
Crédit Agricole,investor
CryptoNext Security,investor
Daphni,investor
David Beyer,investor
Dentsu Group,investor
Draper Esprit,investor
EASO,investor
Elizabeth Hunker,investor
Eni Next,investor
EOS technologies,investor
Erick Miller,investor
Eurostars SME programme,investor
Farzad Nazem,investor
Fidelity Management & Research Company LLC,investor
FOREIS,investor
Foundry Group,investor
FREES Fund,investor
Future Fifty,investor
George Armoyan,investor
Goel Fund,investor
Guoxin Fund,investor
Gyan Kapur,investor
Hyundai Motor Company and Kia Corporation,investor
Ian McNish,investor
IN Venture,investor
Investing Women,investor
ITOCHU Corporation,investor
James Field,investor
John Power,investor
John Spindler,investor
Jon Soberg,investor
JSR Corporation,investor
Kelvin Capital,investor
Lars Fjeldsoe-Nielsen,investor
LCP Quantum Partners,investor
LG Technology Ventures,investor
MassChallenge,investor
Mondragon Corporation,investor
MSD Partners,investor
Mustard Seed Maze,investor
NBC Angel Fund,investor
NEC Capital Solutions,investor
Neotec Capital Riesgo,investor
Nimble Ventures,investor
Pangu Turing,investor
Paul Buchheit,investor
Penja Strategy,investor
Peter Thiel,investor
PICC Capital,investor
PMV,investor
Posa CV,investor
Qbic Fund,investor
QVentures,investor
Renren,investor
Robert Beauchamp,investor
Salvia GmbH,investor
Santander UK,investor
Santo Venture Capital GmbH,investor
Scout Ventures,investor
Seed Gipuzkoa,investor
Sequoia Capital India,investor
Serendipity Capital,investor
SIG China,investor
Silver Lake,investor
SK Telecom,investor
SoftBank,investor
SP Invest,investor
Speedinvest,investor
Taryn Naidu,investor
Tencent Holdings,investor
The Future Fund,investor
The Robotics Hub,investor
Tim Draper,investor
Tom McInerney,investor
Tom Williams,investor
Upscale,investor
VIGO Ventures,investor
Vy Capital,investor
Will Neale,investor
Yael Capital Management Limited,investor
ZhenFund,investor
Zhongguancun Development Frontier Fund,investor
Zhongguancun Gold Seed Fund,investor
Zhongke Yucheng,investor
Zhongtian Fortune,investor
415 Capital,investor
500 Startups,investor
7percent Ventures,investor
8VC,investor
A&E Investments,investor
Abies Ventures,investor
Accelerate New York Seed Fund,investor
Accelerated Digital Ventures (ADV),investor
Accenture,investor
Acequia Capital (Acecap),investor
ACME,investor
Ahren Innovation Capital,investor
AI Seed,investor
Airbus Ventures,investor
Alchemist Accelerator,investor
Allianz,investor
Alpha Intelligence Capital,investor
Alumni Ventures Group,investor
Amadeus Capital Partners,investor
Amazon,investor
AME Ventures,investor
Amplify Partners,investor
Andreessen Horowitz,investor
Anorak Ventures,investor
anri,investor
AORTA Capital AS,investor
Apex Ventures,investor
Atmos Ventures,investor
Atomico,investor
Avigdor Willenz,investor
AXA Life Japan,investor
Baillie Gifford,investor
Balderton Capital,investor
Barclays Accelerator,investor
BASF Venture Capital,investor
Batshit Crazy Ventures,investor
Battery Ventures,investor
BC Investment Management Corporation,investor
Berggruen Holdings,investor
Bessemer Venture Partners,investor
Bezos Expeditions,investor
Bill Gates,investor
BlackRock,investor
Bloomberg Beta,investor
BlueYard Capital,investor
Boost VC,investor
BoxGroup,investor
BPIFrance,investor
Breega,investor
British Business Bank,investor
btov Partners,investor
Business Development Bank of Canada,investor
Business Finland,investor
Business Growth Fund,investor
Cambium VC,investor
Cambridge Enterprise,investor
Cambridge Innovation Capital,investor
Canaan,investor
Canadian Government,investor
Canadian Strategic Innovation Fund,investor
Cantos,investor
Capricorn,investor
Chengwei Capital,investor
Citigroup,investor
Civilization Ventures,investor
CME Ventures,investor
Comcast Ventures,investor
Commonwealth Bank of Australia,investor
Correlation Ventures,investor
Cota Capital,investor
Crane Ventures,investor
Creative Destruction Lab,investor
Creative Ventures,investor
Crosslink Capital,investor
D.E. Shaw Group,investor
DARPA,investor
DCVC (Data Collective),investor
DEEPCORE,investor
DeepWork Capital,investor
Differential Ventures,investor
Digital Ventures,investor
Siam Commercial Bank (Digital Ventures),investor
Draper Fisher Jurvetson,investor
Dymon Asia Ventures,investor
EASME,investor
EASME EU Executive Agency for SMEs,investor
Ecliptic Capital,investor
EDBI,investor
Elaia Partners,investor
Elev8.vc,investor
Engineering and Physical Sciences Research Council,investor
Eniac Ventures,investor
Entrée Capital,investor
Entrepreneur First (EF),investor
EQT Ventures,investor
eQventure,investor
European Innovation Council,investor
Evolution Equity,investor
FAM AB,investor
Felicis Ventures,investor
Fenox Venture Capital,investor
FF Science,investor
Fidelity Investments,investor
Fifty Years,investor
Firebolt Ventures,investor
Fitz Gate Ventures,investor
Florida Institute for the Commercialization of Public Research,investor
Fluxus Ventures,investor
Flybridge Capital Partners,investor
Forward.ONE,investor
FoundersFund,investor
FoundersX Ventures,investor
Franklin Templeton,investor
Fujitsu,investor
G Ventures,investor
Georgian Partners,investor
Global Brain Corporation,investor
Global Founders Capital,investor
Global Frontier Investments,investor
Golden Gate Ventures,investor
Golden Ventures,investor
Goldman Sachs,investor
Granpool,investor
GreatPoint Ventures,investor
GrowthWorks,investor
GV (formerly Google Ventures),investor
Harel Insurance Investments and Financial Services,investor
HealthInc,investor
Hermann Hauser Investment GmbH,investor
Hewlett Packard Pathfinder,investor
High-Tech Gründerfonds,investor
Hoepfner Brau,investor
Honeywell Venture Capital,investor
Horizons Ventures,investor
Horsley Bridge Partners,investor
Hoxton Ventures,investor
IBM,investor
Icebreaker,investor
In-Q-Tel,investor
Industrial Strategy Challenge Fund,investor
Initiative for Industrial Innovators,investor
INKEF Capital,investor
Innovacom,investor
Innovate UK,investor
Innovation Endeavors,investor
Innovation Network Corporation of Japan,investor
Innovation Norway,investor
iNovia,investor
International Investment & Underwriting,investor
Investiere,investor
IP Group,investor
IQ Capital,investor
Isomer Capital,investor
JAFCO Asia,investor
KEC Ventures,investor
Kensington Capital Partners,investor
Khosla Ventures,investor
Kindred Capital,investor
La Roca Capital,investor
LeFrak,investor
Lenovo,investor
Lightspeed Venture Partners,investor
Lim Teck Lee,investor
Liquid 2 Ventures,investor
Lockheed Martin,investor
London Co-Investment Fund,investor
Luminous VC,investor
Lux Capital,investor
M Ventures,investor
M12,investor
Main Sequence Ventures,investor
Maki.vc,investor
Manta Ray Ventures,investor
Martlet Capital,investor
Maryland Venture Fund,investor
Matadero QED,investor
Maverick Ventures,investor
Merck Global Health Innovation Fund,investor
Merck Ventures,investor
Meron Capital,investor
MIG AG,investor
MIRAI SOUZOU,investor
Mitsubishi UFJ Capital,investor
Mitsui Global Investment,investor
Mizuho Capital,investor
Morado Venture Partners,investor
Morpheus Ventures,investor
Mubadala Capital,investor
National Science Foundation,investor
New Enterprise Associates,investor
New Ground Ventures,investor
New South Wales Government,investor
New Technology Ventures,investor
Nikon,investor
Northgate Capital,investor
Northland Wealth Management,investor
Norwegian Research Council,investor
Notion Capital,investor
NTT Docomo,investor
Nvidia Inception,investor
Octopus Ventures,investor
OMERS Ventures,investor
OostNL,investor
OpenOcean,investor
OUP (Osage University Partners),investor
OurCrowd,investor
Overkill Ventures,investor
Oxford Investment Consultants,investor
Oxford Sciences Innovation,investor
Parkwalk,investor
Partnership Fund for New York City,investor
Pegasus Tech Ventures,investor
PenderFund Capital Management,investor
Pentech,investor
PhysTech Ventures,investor
Pillar VC,investor
Pitango Venture Capital,investor
Playground Global,investor
Plug and Play Ventures,investor
Prelude Ventures,investor
Propagator Ventures,investor
PSP Investments,investor
Quantonation,investor
Quantum 1 Investments,investor
Quantum Valley Investments,investor
Qubit Protocol,investor
Radical Ventures,investor
Ramen Ventures,investor
Real Ventures,investor
Redpoint,investor
Rigetti Computing,investor
Rising Tide,investor
Robert Bosch Venture Capital,investor
Royal Bank of Scotland (Silicon Valley Solutions),investor
Runa Capital,investor
S28 Capital,investor
Safran Corporate Ventures,investor
Samsung Catalyst Fund,investor
Samsung Next Q Fund,investor
Samsung Ventures,investor
SBI Investment,investor
Scottish Enterprise,investor
Seabed VC,investor
Seier Capital,investor
Sequoia,investor
Sequoia Capital China,investor
Seraphim Capital,investor
Seraphim Space,investor
SGInnovate,investor
Shasta Ventures,investor
Shinsei Corporate Investment,investor
Sierra Ventures,investor
Silicon Valley Bank,investor
Singularity University Ventures,investor
Social Capital,investor
Space Capital,investor
SPARX Group,investor
Square Peg Capital,investor
Stanhill Capital,investor
Starquest Capital,investor
Streamlined Ventures,investor
Summer Capital,investor
Supernova Invest,investor
Susa Ventures,investor
Sustainable Development Technology Canada,investor
Sutter Hill Ventures,investor
SV Angel,investor
Swiss Federal Foundation for Promotion of the National Economy through Scientific Research,investor
Tao Capital Partners,investor
Team8,investor
Techstars,investor
Telstra,investor
Tesi,investor
The Engine,investor
Threshold,investor
Tiger Global,investor
TIS Japan,investor
TLV Partners,investor
Tokyo Century,investor
Tribeca Venture Partners,investor
UbiQD,investor
UCL Technology Fund,investor
Uncork Capital,investor
United States Air Force,investor
University of New South Wales,investor
University of Tokyo Edge Capital,investor
Unternehmertum Venture Capital,investor
US Department of Energy,investor
US Government,investor
UTokyo Innovation Platform,investor
Vanedge Capital,investor
Venrock,investor
Venture Kick,investor
Village Global,investor
Vito Ventures,investor
VMS Investment Group,investor
Vsquared,investor
Wavemaker Partners,investor
Wayra,investor
Wing Venture Capital,investor
WorldQuant Ventures,investor
WS Investments,investor
Y Combinator,investor
Y Combinators Continuity Fund,investor
Zürcher Kantonal Bank,investor
1517 Fund,investor
180 Degree Capital,investor
Deepbridge Capital,investor
Third Point Ventures,investor
Primer Movers Lab,investor
Lakestar,investor
Addition,investor
DPCM Capital,investor
Yorkville Advisors,investor
Aegis Group Partners,investor
Jorma Ollila,investor
Dawn Capital,investor
Thames Trust,investor
K5 Global,investor
Arena Holdings,investor
Xora Innovation,investor
TIS Ventures,investor
Spike Ventures,investor
Sumitomo Corporation,investor
Gazprombank,investor
Nielsen Ventures,investor
Niels Nielsen,investor
Voima Ventures,investor
Remus Capital,investor
Legend Capital,investor
Oriza Holdings,investor
Wuxi Capital,investor
Legend Star,investor
China Fortune Tech Capital,investor
Ambrum Capital,investor
Foresight Williams,investor
Verve Ventures,investor
Department of Energy,investor
Breyer Capital,investor
Eric Schmidt,investor
Thomas Tull,investor
T.Rowe Price,investor
Guggenheim Investments,investor
Time Ventures,investor
Parkway Venture Capital,investor
Section 32,investor
JIC Venture Growth Investments,investor
Fujitsu Ventures Fund,investor
HPC Systems Inc.,investor
Zeon,investor
Argonne National Laboratory,lab
Brookhaven National Laboratory,lab
Department of Science & Technology,lab
European Organization for Nuclear Research,lab
Fermi National Accelerator Laboratory,lab
Frederick National Laboratory for Cancer Research,lab
German Research Foundation,lab
Idaho National Laboratory,lab
Indian Institute of Science,lab
Japan Science & Technology Agency,lab
Lawrence Berkeley National Laboratory,lab
Lawrence Livermore National Laboratory,lab
Los Alamos National Laboratory,lab
National Centers of Competence in Research,lab
National Energy Technology Laboratory,lab
National Institute of Standards and Technology,lab
National Physical Laboratory,lab
National Renewable Energy Laboratory,lab
National Research Council Canada,lab
Oak Ridge National Laboratory,lab
Pacific Northwest National Laboratory,lab
Princeton Plasma Physics Laboratory,lab
Sandia National Laboratory,lab
Savannah River National Laboratory,lab
Stanford Linear Accelerator Center National Accelerator Laboratory,lab
The French Alternative Energies and Atomic Energy Commission,lab
Thomas Jefferson National Accelerator Facility,lab
United Kingdom National Quantum Technology Program,lab
United Kingdom Research and Innovation,lab
Universities Space Research Association,lab
French National Center for Scientific Research,lab
Rutherford Appleton Laboratory,lab
Air Force Research Laboratory,gov
Canadian Space Agency,gov
Defense Advanced Research Projects Agency,gov
Defense Research and Development Organisation,gov
European Space Agency,gov
Indian Space Research Organization ,gov
Intelligence Advanced Research Projects Activity,gov
Office of Naval Research ,gov
United States Army Research Laboratory,gov
Quantum Technology Finland (QTF),gov
Ames Laboratory,lab
ANL,lab
BNL,lab
DST,lab
CERN,lab
Fermilab,lab
FNLCR,lab
DFG,lab
INL,lab
IISc,lab
JST,lab
LBNL,lab
LLNL,lab
LANL,lab
NCCR,lab
NETL,lab
NIST,lab
NPL,lab
NREL,lab
NRC Canada,lab
ORNL,lab
PNNL,lab
PPPL,lab
SNL,lab
SRNLab,lab
SLAC,lab
CEA-Leti,lab
TJNAF,lab
UKNQT,lab
UKRI,lab
USRA,lab
CNRS,lab
RAL,lab
AFRL,gov
CSA,gov
DARPA,gov
DRDO,gov
ESA,gov
ISRO,gov
IARPA,gov
ONR,gov
DEVCOM,gov
AL,lab
Absolut System,company
Adaptive Finance Technologies,company
Added Scientific,company
AegiQ,company
Agnostiq,company
Algorithmiq,company
Alibaba Quantum Lab,company
Alice&Bob,company
Aliro Quantum,company
AlphaRail,company
Alpine Quantum Technologies,company
Alter Technology,company
Amazon Braket,company
AMS technologies,company
Anametric,company
Angstrom Engineering,company
Anyon Systems,company
AOSense,company
ApexQubit,company
Apogee Instruments,company
Applied Quantum Materials,company
Aqemia,company
aQuantum,company
Archer Materials,company
Arline,company
ArQit,company
Artiste-qb,company
Atom Computing,company
Atomionics,company
Atos Quantum Lab,company
Attocube,company
Aurea Technology,company
Aurora Quantum Technologies,company
Baidu Research,company
Bay Photonics,company
BEIT,company
Black Brane Systems,company
BLAKFX,company
Bleximo,company
Bluefors,company
Bluqat,company
Boltz.ai,company
Boxcat Inc,company
BraneCell Systems,company
C12 Quantum Electronics,company
Cailabs,company
Cambridge Quantum Computing,company
Chase Research Cryogenics,company
ChemAlive,company
Chicago Quantum,company
Chromacity Lasers,company
Ciqtek,company
Classiq,company
Cloud Pharmaceuticals,company
Cogniframe,company
Coherent,company
ColdQuanta,company
ComScire,company
CreativeQuantum,company
CryoConcept,company
Cryofab,company
Cryogenic,company
CryoMagnetics,company
Crypta Labs,company
Crypto Next,company
Crypto Quantique,company
Crypto4A,company
Culgi,company
Cyph,company
Cyphertop,company
D-Wave Systems,company
Dark Star Quantum Computing Laboratories,company
Delft Circuits,company
DenseLight,company
DotQuantum,company
Duality Quantum Photonics,company
EeroQ,company
Elyah,company
ENTANGLE,company
Entropica Labs,company
Equal1,company
EvolutionQ,company
exaQ.ai,company
Excelitas Technologies,company
EYL,company
FAccTs,company
Far Biotech,company
ficonTEC,company
FISBA,company
Fluence Sp. z o.o.,company
Focuslight Technologies Inc,company
Freedom Photonics,company
Google Quantum AI lab,company
GoQuantum,company
H-Bar,company
Hafnium Labs,company
Hamamatsu Photonics,company
High Precision Devices,company
Hitachi,company
Honeywell Quantum Solutions,company
Horiba,company
Horizon Quantum Computing,company
HQS Quantum Simulations,company
Huawei Cloud,company
HyperSphere,company
IBM,company
ICEoxford,company
ID Quantique,company
InfinityQ,company
Integrated Optics,company
Intel,company
Intense Photonics,company
IonQ,company
iPronics,company
IQM,company
IronCAP,company
ISARA Corporation,company
Janis,company
JiJ,company
JoS Quantum,company
KeeQuant,company
Kelvin Nanotechnology,company
Ketita,company
KETS Quantum Security,company
Keysight Technologies,company
Kiutra,company
Krytar,company
Kuano,company
Labber Quantum,company
Laser Components,company
Leiden Cryogenics,company
Ligentec,company
LightOn,company
LightSolver,company
LioniX International,company
Lithium Lasers,company
