URL,Title,Published,Author,Abstract,Atom Category,Filtered Category,Search Term
http://arxiv.org/abs/2201.08937v1,Super warped products with a semi-symmetric non-metric connection,2022-01-22,Yong Wang,"In this paper, we define a semi-symmetric non-metric connection on super
Riemannian manifolds. And we compute the curvature tensor and the Ricci tensor
of a semi-symmetric non-metric connection on super warped product spaces. Next,
we introduce two kinds of super warped product spaces with a semi-symmetric
non-metric connection and give the conditions that two super warped product
spaces with a semi-symmetric non-metric connection are the Einstein super
spaces with a semi-symmetric non-metric connection.",math.DG,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.10521v1,A Review of Deep Learning Based Image Super-resolution Techniques,2022-01-22,Fangyuan Zhu,"Image super-resolution technology is the process of obtaining high-resolution
images from one or more low-resolution images. With the development of deep
learning, image super-resolution technology based on deep learning method is
emerging. This paper reviews the research progress of the application of depth
learning method in the field of image super-resolution, introduces this kind of
super-resolution work from several aspects, and looks forward to the further
application of depth learning method in the field of image super-resolution. By
collecting and counting the relevant literature on the application of depth
learning in the field of image super-resolution, we preliminarily summarizes
the application results of depth learning method in the field of image
super-resolution, and reports the latest progress of image super-resolution
technology based on depth learning method.",cs.CV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.08766v1,"How the super-Eddington regime regulates black hole growth in
  high-redshift galaxies",2022-01-21,Ricarda S. Beckmann,"Super-Eddington accretion is one scenario that may explain the rapid assembly
of $\sim 10^9\rm\, M_\odot$ supermassive black holes (BHs) within the first
billion year of the Universe. This critical regime is associated with
radiatively inefficient accretion and accompanied by powerful outflows in the
form of winds and jets. By means of hydrodynamical simulations of BH evolution
in an isolated galaxy and its host halo with 12 pc resolution, we investigate
how super-Eddington feedback affects the mass growth of the BH. It is shown
that super-Eddington feedback efficiently prevents BH growth within a few Myr.
The super-Eddington accretion events remain relatively mild with typical rates
of about 2-3 times the Eddington limit, because of the efficient regulation by
jets in that regime. We find that these jets are powerful enough to eject gas
from the centre of the host galaxy all the way up to galactic scales at a few
kpc, but do not significantly impact gas inflows at those large scales. By
varying the jet feedback efficiency, we find that weaker super-Eddington jets
allow for more significant BH growth through more frequent episodes of
super-Eddington accretion. We conclude that effective super-Eddington growth is
possible, as we find that simulations with weak jet feedback efficiencies
provide a slightly larger BH mass evolution over long periods of time ($\sim
80\,\rm Myr$) than that for a BH accreting at the Eddington limit.",astro-ph.GA,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.06383v1,Dual Perceptual Loss for Single Image Super-Resolution Using ESRGAN,2022-01-17,Yuanyuan Liu,"The proposal of perceptual loss solves the problem that per-pixel difference
loss function causes the reconstructed image to be overly-smooth, which
acquires a significant progress in the field of single image super-resolution
reconstruction. Furthermore, the generative adversarial networks (GAN) is
applied to the super-resolution field, which effectively improves the visual
quality of the reconstructed image. However, under the condtion of high
upscaling factors, the excessive abnormal reasoning of the network produces
some distorted structures, so that there is a certain deviation between the
reconstructed image and the ground-truth image. In order to fundamentally
improve the quality of reconstructed images, this paper proposes a effective
method called Dual Perceptual Loss (DP Loss), which is used to replace the
original perceptual loss to solve the problem of single image super-resolution
reconstruction. Due to the complementary property between the VGG features and
the ResNet features, the proposed DP Loss considers the advantages of learning
two features simultaneously, which significantly improves the reconstruction
effect of images. The qualitative and quantitative analysis on benchmark
datasets demonstrates the superiority of our proposed method over
state-of-the-art super-resolution methods.",eess.IV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.06045v1,CISRNet: Compressed Image Super-Resolution Network,2022-01-16,Sultan Rizky Hikmawan Madjid,"In recent years, tons of research has been conducted on Single Image
Super-Resolution (SISR). However, to the best of our knowledge, few of these
studies are mainly focused on compressed images. A problem such as complicated
compression artifacts hinders the advance of this study in spite of its high
practical values. To tackle this problem, we proposed CISRNet; a network that
employs a two-stage coarse-to-fine learning framework that is mainly optimized
for Compressed Image Super-Resolution Problem. Specifically, CISRNet consists
of two main subnetworks; the coarse and refinement network, where recursive and
residual learning is employed within these two networks respectively. Extensive
experiments show that with a careful design choice, CISRNet performs favorably
against competing Single-Image Super-Resolution methods in the Compressed Image
Super-Resolution tasks.",eess.IV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.05865v1,"SDT-DCSCN for Simultaneous Super-Resolution and Deblurring of Text
  Images",2022-01-15,Adel M. Alimi,"Deep convolutional neural networks (Deep CNN) have achieved hopeful
performance for single image super-resolution. In particular, the Deep CNN skip
Connection and Network in Network (DCSCN) architecture has been successfully
applied to natural images super-resolution. In this work we propose an approach
called SDT-DCSCN that jointly performs super-resolution and deblurring of
low-resolution blurry text images based on DCSCN. Our approach uses subsampled
blurry images in the input and original sharp images as ground truth. The used
architecture is consists of a higher number of filters in the input CNN layer
to a better analysis of the text details. The quantitative and qualitative
evaluation on different datasets prove the high performance of our model to
reconstruct high-resolution and sharp text images. In addition, in terms of
computational time, our proposed method gives competitive performance compared
to state of the art methods.",eess.IV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.04076v2,"Computing the group of minimal non-degenerate extensions of a
  super-Tannakian category",2022-01-11,Dmitri Nikshych,"We prove an analog of the K\""unneth formula for the groups of minimal
non-degenerate extensions arXiv:1602.05936 of symmetric fusion categories. We
describe in detail the structure of the group of minimal extensions of a
pointed super-Tannakian fusion category. This description resembles that of the
third cohomology group of a finite abelian group. We explicitly compute this
group in several concrete examples.",math.QA,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.02018v1,"Super-Reparametrizations of Weighted CSPs: Properties and Optimization
  Perspective",2022-01-06,Simon de Givry,"The notion of reparametrizations of Weighted CSPs (WCSPs) (also known as
equivalence-preserving transformations of WCSPs) is well-known and finds its
use in many algorithms to approximate or bound the optimal WCSP value. In
contrast, the concept of super-reparametrizations (which are changes of the
weights that keep or increase the WCSP objective for every assignment) was
already proposed but never studied in detail. To fill this gap, we present a
number of theoretical properties of super-reparametrizations and compare them
to those of reparametrizations. Furthermore, we propose a framework for
computing upper bounds on the optimal value of the (maximization version of)
WCSP using super-reparametrizations. We show that it is in principle possible
to employ arbitrary (under some technical conditions) constraint propagation
rules to improve the bound. For arc consistency in particular, the method
reduces to the known Virtual AC (VAC) algorithm. Newly, we implemented the
method for singleton arc consistency (SAC) and compared it to other strong
local consistencies in WCSPs on a public benchmark. The results show that the
bounds obtained from SAC are superior for many instance groups.",math.OC,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.01959v1,"Super-fast spreading of billiard orbits in rational polygons and
  geodesics on translation surfaces",2022-01-06,W. W. L. Chen,"In this paper, we show that billiard orbits in rational polygons and
geodesics on translation surfaces exhibit super-fast spreading, an optimal
time-quantitative majority property about the corresponding linear flow that
implies uniformity in almost every direction.",math.DS,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.01294v1,"3DVSR: 3D EPI Volume-based Approach for Angular and Spatial Light field
  Image Super-resolution",2022-01-04,Sven Simon,"Light field (LF) imaging, which captures both spatial and angular information
of a scene, is undoubtedly beneficial to numerous applications. Although
various techniques have been proposed for LF acquisition, achieving both
angularly and spatially high-resolution LF remains a technology challenge. In
this paper, a learning-based approach applied to 3D epipolar image (EPI) is
proposed to reconstruct high-resolution LF. Through a 2-stage super-resolution
framework, the proposed approach effectively addresses various LF
super-resolution (SR) problems, i.e., spatial SR, angular SR, and
angular-spatial SR. While the first stage provides flexible options to
up-sample EPI volume to the desired resolution, the second stage, which
consists of a novel EPI volume-based refinement network (EVRN), substantially
enhances the quality of the high-resolution EPI volume. An extensive evaluation
on 90 challenging synthetic and real-world light field scenes from 7 published
datasets shows that the proposed approach outperforms state-of-the-art methods
to a large extend for both spatial and angular super-resolution problem, i.e.,
an average peak signal to noise ratio improvement of more than 2.0 dB, 1.4 dB,
and 3.14 dB in spatial SR $\times 2$, spatial SR $\times 4$, and angular SR
respectively. The reconstructed 4D light field demonstrates a balanced
performance distribution across all perspective images and presents superior
visual quality compared to the previous works.",cs.CV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.00547v1,Progress on Local Properties Problems of Difference Sets,2022-01-03,Anqi Li,"We derive several new bounds for the problem of difference sets with local
properties, such as establishing the super-linear threshold of the problem. For
our proofs, we develop several new tools, including a variant of higher moment
energies and a Ramsey-theoretic approach for the problem.",math.CO,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.00346v1,Detail-Preserving Transformer for Light Field Image Super-Resolution,2022-01-02,Huijun Di,"Recently, numerous algorithms have been developed to tackle the problem of
light field super-resolution (LFSR), i.e., super-resolving low-resolution light
fields to gain high-resolution views. Despite delivering encouraging results,
these approaches are all convolution-based, and are naturally weak in global
relation modeling of sub-aperture images necessarily to characterize the
inherent structure of light fields. In this paper, we put forth a novel
formulation built upon Transformers, by treating LFSR as a sequence-to-sequence
reconstruction task. In particular, our model regards sub-aperture images of
each vertical or horizontal angular view as a sequence, and establishes
long-range geometric dependencies within each sequence via a spatial-angular
locally-enhanced self-attention layer, which maintains the locality of each
sub-aperture image as well. Additionally, to better recover image details, we
propose a detail-preserving Transformer (termed as DPT), by leveraging gradient
maps of light field to guide the sequence learning. DPT consists of two
branches, with each associated with a Transformer for learning from an original
or gradient image sequence. The two branches are finally fused to obtain
comprehensive feature representations for reconstruction. Evaluations are
conducted on a number of light field datasets, including real-world scenes and
synthetic data. The proposed method achieves superior performance comparing
with other state-of-the-art schemes. Our code is publicly available at:
https://github.com/BITszwang/DPT.",cs.CV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2201.00143v1,"Large deviations principle for stochastic delay differential equations
  with super-linearly growing coefficients",2022-01-01,Tau Zhou,"We utilize the weak convergence method to establish the Freidlin--Wentzell
large deviations principle (LDP) for stochastic delay differential equations
(SDDEs) with super-linearly growing coefficients, which covers a large class of
cases with non-globally Lipschitz coefficients. The key ingredient in our proof
is the uniform moment estimate of the controlled equation, where we handle the
super-linear growth of the coefficients by an iterative argument. Our results
allow both the drift and diffusion coefficients of the considered equations to
super-linearly grow not only with respect to the delay variable but also to the
state variable. This work extends the existing results which develop the LDPs
for SDDEs with super-linearly growing coefficients only with respect to the
delay variable.",math.PR,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.14512v1,"Composition of super-Earths, super-Mercuries, and their host stars",2021-12-29,G. Israelian,"Because of their common origin, it was assumed that the composition of planet
building blocks should, to a first order, correlate with stellar atmospheric
composition, especially for refractory elements. In fact, information on the
relative abundance of refractory and major rock-forming elements such as Fe,
Mg, Si has been commonly used to improve interior estimates for terrestrial
planets. Recently Adibekyan et al. (2021) presented evidence of a tight
chemical link between rocky planets and their host stars. In this study we add
six recently discovered exoplanets to the sample of Adibekyan et al and
re-evaluate their findings in light of these new data. We confirm that i)
iron-mass fraction of rocky exoplanets correlates (but not a 1:1 relationship)
with the composition of their host stars, ii) on average the iron-mass fraction
of planets is higher than that of the primordial iron-mass fraction of the
protoplanetary disk, iii) super-Mercuries are formed in disks with high iron
content. Based on these results we conclude that disk-chemistry and planet
formation processes play an important role in the composition, formation, and
evolution of super-Earths and super-Mercuries.",astro-ph.EP,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.14481v2,"${\cal N}{=}4$ supersymmetric Schwarzian with $D(1,2;α)$ symmetry",2021-12-29,Sergey Krivonos,"It was recently demonstrated that super-Schwarzian derivatives can be
constructed from the Cartan forms of the super-conformal supergroups
$OSp(1|2),SU(1,1|1), OSp(3|2), SU(1,1|2)$. Roughly speaking, the
super-Schwarzian is just the component of the corresponding Cartan forms with
the lowest dimension. In this paper, we apply the same approach for
superalgebra $D(1,2;\alpha)$. The minimal set of constraints we used includes:
a) introducing new superspace coordinates the Cartan forms depend on, which are
completely invariant with respect to the corresponding group; b) nullifying the
form for dilatation. In contrast to the $SU(1,1|2)$ case, the new
super-Schwarzian appears to be a $d\theta^{ia}$ component of the form for
$su(2)$ automorphism.",hep-th,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.14340v1,"Super-Efficient Super Resolution for Fast Adversarial Defense at the
  Edge",2021-12-29,Danny Loh,"Autonomous systems are highly vulnerable to a variety of adversarial attacks
on Deep Neural Networks (DNNs). Training-free model-agnostic defenses have
recently gained popularity due to their speed, ease of deployment, and ability
to work across many DNNs. To this end, a new technique has emerged for
mitigating attacks on image classification DNNs, namely, preprocessing
adversarial images using super resolution -- upscaling low-quality inputs into
high-resolution images. This defense requires running both image classifiers
and super resolution models on constrained autonomous systems. However, super
resolution incurs a heavy computational cost. Therefore, in this paper, we
investigate the following question: Does the robustness of image classifiers
suffer if we use tiny super resolution models? To answer this, we first review
a recent work called Super-Efficient Super Resolution (SESR) that achieves
similar or better image quality than prior art while requiring 2x to 330x fewer
Multiply-Accumulate (MAC) operations. We demonstrate that despite being orders
of magnitude smaller than existing models, SESR achieves the same level of
robustness as significantly larger networks. Finally, we estimate end-to-end
performance of super resolution-based defenses on a commercial Arm Ethos-U55
micro-NPU. Our findings show that SESR achieves nearly 3x higher FPS than a
baseline while achieving similar robustness.",eess.IV,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.13868v1,Super universality of dimerised $SU(N+M)$ spin chains,2021-12-27,R. Shankar,"We explore the physics of the quantum Hall effect using the Haldane mapping
of dimerised $SU(N+M)$ spin chains, the large $N$ expansion and the density
matrix renormalization group technique. We show that while the transition is
first order for $N+M >2$, the system at zero temperature nevertheless displays
a continuously diverging length scale $\xi$ (correlation length). The numerical
results for $(M, N) = (1,3), ~ (2, 2),~(1, 5)$ and $(1, 7)$ indicate that $\xi$
is a directly observable physical quantity, namely the spatial width of the
edge states. We relate the physical observables of the quantum spin chain to
those of the quantum Hall system (and, hence, the $\vartheta$ vacuum concept in
quantum field theory). Our numerical investigations provide strong evidence for
the conjecture of super universality which says the dimerised spin chain quite
generally displays all the basic features of the quantum Hall effect,
independent of the specific values of $M$ and $N$. For the cases at hand we
show that the singularity structure of the quantum Hall plateau transitions
involves a universal function with two scale parameters that may in general
depend on $M$ and $N$. This includes not only the Hall conductance but also the
ground state energy as well as the correlation length $\xi$ with varying values
of $\vartheta \sim \pi$.",cond-mat.str-el,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.13757v3,"Abnormally High Thermal Conductivity in Fivefold Twinned Diamond
  Nanowires",2021-12-27,Jianyang Wu,"Fivefold twins (5FTs), discovered nearly 200 years ago, are a common multiply
twinned structure that usually dramatically deteriorate the thermal transport
properties of nanomaterials. Here, we report the anomalous thermal conductivity
($\kappa$) in a novel fivefold twinned diamond nanowires (5FT-DNWs). The
$\kappa$ of 5FT-DNWs is effectively enhanced by the defects of 5FT boundaries,
and non-monotonically changes with the cross-sectional area ($\textit{S}$).
Above the critical $\textit{S}$ = 7.1 nm$^{2}$, 5FT-DNWs show a constant value
of $\kappa$, whereas below it, there appears a sharp increase in $\kappa$ with
decreasing $\textit{S}$. More importantly, 5FT-DNWs with minimal $\textit{S}$
show a superior $\kappa$ over the bulk diamond. By confirming the
Normal-process-dominated scattering event, it is demonstrated that the phonon
hydrodynamic behavior plays a determinative role in abnormally high $\kappa$ of
5FT-DNWs with small $\textit{S}$. The super-transported phonon hydrodynamic
phenomenon unveiled in the twinned diamond nanowires may provide a new route
for pursuing highly thermally conductive nanomaterials.",physics.comp-ph,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.13156v1,"Enabling Real-time On-chip Audio Super Resolution for Bone Conduction
  Microphones",2021-12-24,Shao-fu Shih,"Voice communication using the air conduction microphone in noisy environments
suffers from the degradation of speech audibility. Bone conduction microphones
(BCM) are robust against ambient noises but suffer from limited effective
bandwidth due to their sensing mechanism. Although existing audio super
resolution algorithms can recover the high frequency loss to achieve
high-fidelity audio, they require considerably more computational resources
than available in low-power hearable devices. This paper proposes the
first-ever real-time on-chip speech audio super resolution system for BCM. To
accomplish this, we built and compared a series of lightweight audio super
resolution deep learning models. Among all these models, ATS-UNet is the most
cost-efficient because the proposed novel Audio Temporal Shift Module (ATSM)
reduces the network's dimensionality while maintaining sufficient temporal
features from speech audios. Then we quantized and deployed the ATS-UNet to
low-end ARM micro-controller units for real-time embedded prototypes.
Evaluation results show that our system achieved real-time inference speed on
Cortex-M7 and higher quality than the baseline audio super resolution method.
Finally, we conducted a user study with ten experts and ten amateur listeners
to evaluate our method's effectiveness to human ears. Both groups perceived a
significantly higher speech quality with our method when compared to the
solutions with the original BCM or air conduction microphone with cutting-edge
noise reduction algorithms.",cs.SD,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.12168v1,Super Non-Abelian T-Duality,2021-12-22,Martin Wolf,"We analyse super non-Abelian T-duality for principal chiral models, symmetric
space sigma models, and semi-symmetric space sigma models for general Lie
supergroups. This includes T-duality along both bosonic and fermionic
directions. Specifically, super non-Abelian T-duality exchanges the
Maurer-Cartan equations with the equations of motion thus mapping integrable
models into integrable models. This, in turn, allows us to construct the T-dual
Lax connections. As a prime example, we analyse the OSp(1|2) principal chiral
model, and whilst the target superspace of this model is a three-dimensional
supergravity background, we argue that its super non-Abelian T-dual falls
outside the class of such backgrounds.",hep-th,cat:quant-ph,all:super%20conducting
http://arxiv.org/abs/2112.11935v1,"Characterization of quasiparticle tunneling in a quantum dot from
  temperature dependent transport in the integer and fractional quantum Hall
  regime",2021-12-22,Klaus Ensslin,"We report on magnetoconductance measurements through a weakly coupled quantum
dot, containing roughly 900 electrons, in a wide magnetic field range from 0 T
to 12 T. We find modulations of the conductance resonances in the quantum Hall
regime for higher integer filling factors $6> \nu_\mathrm{dot} > 2$, in
addition to modulations at $2> \nu_\mathrm{dot} > 1$ and at fractional filling
factors $\nu_\mathrm{dot} \gtrsim 2/3$, $1/3$. Depending on the internal
filling factor, edge reconstruction inside the quantum dot leads to the
formation of multiple concentric compressible regions, which contain discrete
charge and are separated by incompressible rings. Quasiparticle tunneling
between different compressible regions results in
magnetic-field-(pseudo)-periodic modulations of the Coulomb resonances with
different periodicities, additional super-periodicity or non-periodic features.
The evolution of the period in magnetic field indicates cyclic depopulation of
the inner compressible regions close to integer filing factors. We study the
temperature dependence of the conductance resonances for different magnetic
fields. While at low fields, the resonance amplitude decays inversely with
temperature, corresponding to single-level transport, the temperature
dependence of the amplitude evolves continuously into a linearly increasing
behavior for dot filling factor $2> \nu_\mathrm{dot} > 1$. This coincides with
a reduction of the charging energy by approximately a factor of 2 in the same
regime. At zero magnetic field, the temperature dependence differs for
individual resonances, and is found to depend on the closeness to quantum dot
states that couple strongly to the leads. The presented experiments complement
and extend previous results on internal rearrangements of quasiparticles for
weakly coupled quantum dots in magnetic field.",cond-mat.mes-hall,cat:quant-ph,all:super%20conducting
